CPRO,CMUN,NOMBRE
01,0014,Alegría-Dulantzi
01,0029,Amurrio
01,0493,Añana
01,0035,Aramaio
01,0066,Armiñón
01,0376,Arraia-Maeztu
01,0088,Arrazua-Ubarrundia
01,0040,Artziniega
01,0091,Asparrena
01,0105,Ayala/Aiara
01,0112,Baños de Ebro/Mañueta
01,0133,Barrundia
01,0148,Berantevilla
01,0164,Bernedo
01,0170,Campezo/Kanpezu
01,0210,Elburgo/Burgelu
01,0225,Elciego
01,0231,Elvillar/Bilar
01,0565,Harana/Valle de Arana
01,9015,Iruña Oka/Iruña de Oca
01,0278,Iruraiz-Gauna
01,0199,Kripan
01,0203,Kuartango
01,0284,Labastida/Bastida
01,0301,Lagrán
01,0318,Laguardia
01,0323,Lanciego/Lantziego
01,9020,Lantarón
01,0339,Lapuebla de Labarca
01,0360,Laudio/Llodio
01,0587,Legutiano
01,0344,Leza
01,0395,Moreda de Álava
01,0416,Navaridas
01,0421,Okondo
01,0437,Oyón-Oion
01,0442,Peñacerrada-Urizaharra
01,0468,Ribera Alta
01,0474,Ribera Baja/Erribera Beitia
01,0513,Salvatierra/Agurain
01,0528,Samaniego
01,0534,San Millán/Donemiliaga
01,0549,Urkabustaiz
01,0552,Valdegovía/Gaubea
01,0571,Villabuena de Álava/Eskuernaga
01,0590,Vitoria-Gasteiz
01,0604,Yécora/Iekora
01,0611,Zalduondo
01,0626,Zambrana
01,0186,Zigoitia
01,0632,Zuia
02,0019,Abengibre
02,0024,Alatoz
02,0030,Albacete
02,0045,Albatana
02,0058,Alborea
02,0061,Alcadozo
02,0077,Alcalá del Júcar
02,0083,Alcaraz
02,0096,Almansa
02,0100,Alpera
02,0117,Ayna
02,0122,Balazote
02,0143,Ballestero (El)
02,0138,Balsa de Ves
02,0156,Barrax
02,0169,Bienservida
02,0175,Bogarra
02,0181,Bonete
02,0194,Bonillo (El)
02,0208,Carcelén
02,0215,Casas de Juan Núñez
02,0220,Casas de Lázaro
02,0236,Casas de Ves
02,0241,Casas-Ibáñez
02,0254,Caudete
02,0267,Cenizate
02,0292,Chinchilla de Monte-Aragón
02,0273,Corral-Rubio
02,0289,Cotillas
02,0306,Elche de la Sierra
02,0313,Férez
02,0328,Fuensanta
02,0334,Fuente-Álamo
02,0349,Fuentealbilla
02,0352,Gineta (La)
02,0365,Golosalvo
02,0371,Hellín
02,0387,Herrera (La)
