municipio_id,isla_id,provincia_id,cmun,dc,nombre
07024,071,07,024,4,Formentera
07026,072,07,026,0,Eivissa
07046,072,07,046,6,"Sant Antoni de Portmany"
07050,072,07,050,4,"Sant Joan de Labritja"
07048,072,07,048,8,"Sant Josep de sa Talaia"
07054,072,07,054,7,"Santa Eulària des Riu"
07001,073,07,001,2,Alaró
07003,073,07,003,3,Alcúdia
07004,073,07,004,8,Algaida
07005,073,07,005,1,Andratx
07901,073,07,901,3,Ariany
07006,073,07,006,4,Artà
07007,073,07,007,0,Banyalbufar
07008,073,07,008,6,Binissalem
07009,073,07,009,9,Búger
07010,073,07,010,3,Bunyola
07011,073,07,011,0,Calvià
07012,073,07,012,5,Campanet
07013,073,07,013,1,Campos
07014,073,07,014,6,Capdepera
07016,073,07,016,2,Consell
07017,073,07,017,8,Costitx
07018,073,07,018,4,Deià
07019,073,07,019,7,Escorca
07020,073,07,020,1,Esporles
07021,073,07,021,8,Estellencs
07022,073,07,022,3,Felanitx
07025,073,07,025,7,Fornalutx
07027,073,07,027,6,Inca
07028,073,07,028,2,"Lloret de Vistalegre"
07029,073,07,029,5,Lloseta
07030,073,07,030,9,Llubí
07031,073,07,031,6,Llucmajor
07033,073,07,033,7,Manacor
07034,073,07,034,2,"Mancor de la Vall"
07035,073,07,035,5,"Maria de la Salut"
07036,073,07,036,8,Marratxí
07038,073,07,038,0,Montuïri
07039,073,07,039,3,Muro
07040,073,07,040,7,"Palma de Mallorca"
07041,073,07,041,4,Petra
07044,073,07,044,0,"Pobla, Sa"
07042,073,07,042,9,Pollença
07043,073,07,043,5,Porreres
07045,073,07,045,3,Puigpunyent
07059,073,07,059,8,"Salines, Ses"
07049,073,07,049,1,"Sant Joan"
07051,073,07,051,1,"Sant Llorenç des Cardassar"
07053,073,07,053,2,"Santa Eugènia"
07055,073,07,055,0,"Santa Margalida"
07056,073,07,056,3,"Santa María del Camí"
07057,073,07,057,9,Santanyí
07058,073,07,058,5,Selva
07047,073,07,047,2,Sencelles
07060,073,07,060,2,Sineu
07061,073,07,061,9,Sóller
07062,073,07,062,4,"Son Servera"
07063,073,07,063,0,Valldemossa
07065,073,07,065,8,"Vilafranca de Bonany"
07002,074,07,002,7,Alaior
07064,074,07,064,5,"Castell, Es"
07015,074,07,015,9,"Ciutadella de Menorca"
07023,074,07,023,9,Ferreries
07032,074,07,032,1,Maó-Mahón
07037,074,07,037,4,"Mercadal, Es"
07902,074,07,902,8,"Migjorn Gran, Es"
07052,074,07,052,6,"Sant Lluís"
35003,351,35,003,8,Antigua
35007,351,35,007,5,Betancuria
35014,351,35,014,1,"Oliva, La"
